"Your review has been successfully submitted","Your review has been successfully submitted"
"Sorry, something went wrong. Please try again later.","Sorry, something went wrong. Please try again later."
"Site Reviews","Site Reviews"
"Site Review","Site Review"
"General Settings","General Settings"
"Enable Module","Enable Module"
"Site Review Module","Site Review Module"
"Site Review Listing","Site Review Listing"
"Get Site Reviews List","Get Site Reviews List"
"Site Reviews List","Site Reviews List"
"Could not save the site review: %1","Could not save the site review: %1"
"Site review with id "%1" does not exist.","Site review with id "%1" does not exist."
"Could not delete the site review: %1","Could not delete the site review: %1"
"Id","Id"
"Title","Title"
"Review","Review"
"Pros","Pros"
"Cons","Cons"
"Created At","Created At"
"Pros:","Pros:"
"Cons:","Cons:"
"Submit","Submit"
